ccode,scode,country,year,democ,autoc,polity,polity2,durable,xconst,CL,legalfoia,implemented,exemptions,anyoneaccess,fees,foi,investigations,evidence,subpoena,publicreports,minorityreport,staffing,lop,duplicate,CL_recoded,spii,region
2,"USA","United States",1970,10,0,10,10,161,7,,1,.25,.25,0,0,0,1,1,1,1,0,.9,.72,1,0,.24,1
2,"USA","United States",1971,10,0,10,10,162,7,,1,.25,.25,0,0,0,1,1,1,1,0,.9,.72,1,0,.24,1
2,"USA","United States",1972,10,0,10,10,163,7,1,1,.25,.25,0,0,0,1,1,1,1,0,.9,.72,1,1,.5733333,1
2,"USA","United States",1973,10,0,10,10,164,7,1,1,.25,.25,0,0,0,1,1,1,1,0,.9,.72,1,1,.5733333,1
2,"USA","United States",1974,10,0,10,10,165,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,.9,.72,1,1,.7608333,1
2,"USA","United States",1975,10,0,10,10,166,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1976,10,0,10,10,167,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1977,10,0,10,10,168,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1978,10,0,10,10,169,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1979,10,0,10,10,170,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1980,10,0,10,10,171,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1981,10,0,10,10,172,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1982,10,0,10,10,173,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1983,10,0,10,10,174,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1984,10,0,10,10,175,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1985,10,0,10,10,176,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1986,10,0,10,10,177,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1987,10,0,10,10,178,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1988,10,0,10,10,179,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1989,10,0,10,10,180,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1990,10,0,10,10,181,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1991,10,0,10,10,182,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1992,10,0,10,10,183,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1993,10,0,10,10,184,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1994,10,0,10,10,185,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1995,10,0,10,10,186,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1996,10,0,10,10,187,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1997,10,0,10,10,188,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1998,10,0,10,10,189,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",1999,10,0,10,10,190,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",2000,10,0,10,10,191,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",2001,10,0,10,10,192,7,1,1,.75,.75,1,1,.5625,1,1,1,1,0,1,.8,1,1,.7875,1
2,"USA","United States",2002,10,0,10,10,193,7,1,1,.75,.75,.75,1,.421875,1,1,1,1,0,1,.8,1,1,.740625,1
